objectid,parentid,format,filename,identifier,title,type,creator,contributor,description,date,subject
MBE076,MBE075,image/jpeg,PS2618.P892011-001.jpg,,,,,,,,
MBE077,MBE075,image/jpeg,PS2618.P892011-002.jpg,,,,,,,,
MBE078,MBE075,image/jpeg,PS2618.P892011-003.jpg,,,,,,,,
MBE079,,multiple,,Z1033.M6 M681 no.117,"Intersection : books as painting, paintings as books",Book,"Leslie, Ken.",Miniature Book Society.,"Hardwick, VT : [Charuby Press]; 1 v. (unpaged) : chiefly ill. : 80 mm.; When fully opened (44 x 29 cm.), book forms a rectangle (with opening in the center). In black printed paper open case.",1995,Artists' books--Specimens; Miniature books--Specimens
MBE080,MBE079,image/jpeg,Z1033.M6M681no.117-001.jpg,,,,,,,,
MBE081,MBE079,image/jpeg,Z1033.M6M681no.117-002.jpg,,,,,,,,
MBE082,MBE079,image/jpeg,Z1033.M6M681no.117-003.jpg,,,,,,,,
MBE083,,multiple,,N7433.4.B342 F78 1995,Fruity jubilee : a scratch 'n' sniff pocket book,Book,"Baldwin, Pat.",[N/A],"Bisbee, Ariz. : Pequeño Press; 1 v. (unpaged) : col. ill. : 70 mm.; Bound in cloth boards with accordion style fold out leaf. Ten removable recipes each with its own scratch and sniff odoriferous illustrations, pop-up fruit bowl on title page. The accompanying red metallic bag is lacking.",1995,"Baldwin, Pat; Artists' books--Specimens; Miniature books--Specimens"
MBE084,MBE083,image/jpeg,N7433.4.B342F781995-001.jpg,,,,,,,,
MBE085,MBE083,image/jpeg,N7433.4.B342F781995-002.jpg,,,,,,,,
MBE086,MBE083,image/jpeg,N7433.4.B342F781995-003.jpg,,,,,,,,
MBE087,MBE083,image/jpeg,N7433.4.B342F781995-004.jpg,,,,,,,,
MBE088,,multiple,,N7433.4.H9 W76,Windows,Book,"Hutchins, Edward H.","Adomeit, Ruth E., former owner. ","[Cairo, N.Y.] : Editions; 2 v. : col. ill. : 54 x 77 mm.; Two miniature peepshows, one depicting a view in a window, one out a window with text on back covers. Photocopied on Strathmore bond, hand colored, cut and assembled from a single sheet of paper. In printed paper slipcase.",1994,Artists' books--Specimens; Miniature books--Specimens
MBE089,MBE088,image/jpeg,N7433.4.H9W76-001.jpg,,,,,,,,
MBE090,MBE088,image/jpeg,N7433.4.H9W76-002.jpg,,,,,,,,
MBE091,MBE088,image/jpeg,N7433.4.H9W76-003.jpg,,,,,,,,
MBE092,MBE088,image/jpeg,N7433.4.H9W76-004.jpg,,,,,,,,
MBE093,MBE088,image/jpeg,N7433.4.H9W76-005.jpg,,,,,,,,
MBE094,,multiple,,NA5620.S9 V18 1985,Vatican peep,Book,[N/A],"Adomeit, Ruth E., former owner. ","Sudbury, Mass. : Kurbel Books; 1 v. : chiefly ill. : 65 mm.; Published with pages configured as a double accordion fold closed at both ends, with two interior cross-pages and the first page designed as a set of double doors to be open, allowing the reader to peep through a window, through hedges, over landscape, to see the dome of St. Peter's cathedral. This peep show is intended to emulate the view of the Aventine Hill, through the keyhole of the doorway to the garden of the Priory of the Knights of Malta, in Rome.",1985,Basilica di San Pietro in Vaticanol; Artists' books--Specimens; Miniature books--Specimens; Rome (Italy) Vatican City
MBE095,MBE094,image/jpeg,NA5620S9V181985-001.jpg,,,,,,,,
MBE096,MBE094,image/jpeg,NA5620S9V181985-002.jpg,,,,,,,,
MBE097,MBE094,image/jpeg,NA5620S9V181985-003.jpg,,,,,,,,
MBE098,MBE094,image/jpeg,NA5620S9V181985-004.jpg,,,,,,,,
MBE099,MBE094,image/jpeg,NA5620S9V181985-005.jpg,,,,,,,,
MBE100,MBE094,image/jpeg,NA5620S9V181985-006.jpg,,,,,,,,
MBE101,,multiple,,Z1033.T68 V36 1996,Tumbling blocks for Pris and Bruce,Book,"Van Vliet, Claire.","Holden, Audrey. Kaufman, Margaret. Praise basted in. ","Newark, Vt. : Janus Press; [14] leaves : 56 mm.; Tumbling Blocks is a little cut alphabet created from the offcuts from Praise Basted In, the design of which, left a number of small folios of handmade papers. It spirals in several ways or stands in a circle. The cube box is folded with two papers that hold each other in place without needing glue. See Janus Press checklist 1990-.",1996,Toy and movable books--Specimens; Miniature books--Specimens; Artists' books--Specimens; Alphabet books
MBE102,MBE101,image/jpeg,Z1033.T68V361996-001.jpg,,,,,,,,
MBE103,MBE101,image/jpeg,Z1033.T68V361996-002.jpg,,,,,,,,
MBE104,MBE101,image/jpeg,Z1033.T68V361996-003.jpg,,,,,,,,
MBE105,MBE101,image/jpeg,Z1033.T68V361996-004.jpg,,,,,,,,
MBE106,,multiple,,N7433.4.J67 C35,Catch your dreams as they fall,Manuscript,"Johnson, Paul, 1943-",[N/A],"[Cheshire, England : Paul Johnson]; [10] p. : col. ill. : 52 mm.; A unique artist's book, with original purple line drawings on multi-colored accordion folded paper throughout. Enclosed in a protective maroon paper band, with multi-colored cotton tie. Each page has a rectangle strip cut from the center, with the strip pulled up and through the top of the opening. Bound in multi-colored mouldmade paper over boards, with a gold and red paper cone affixed to spine, a flower cut-out mounted on front cover, and an orange paper flap closure.",2008,Artists' books--Specimens; Miniature books--Specimens
MBE107,MBE106,image/jpeg,N7433.4.J67C35-001.jpg,,,,,,,,
MBE108,MBE106,image/jpeg,N7433.4.J67C35-002.jpg,,,,,,,,
MBE109,MBE106,image/jpeg,N7433.4.J67C35-003.jpg,,,,,,,,
